43,Bishkek,2019-03-26
34,Addis Ababa,2019-12-05
58,Beirut,2019-09-28
72,Belgrade,2019-01-29
5,Dublin,2019-04-04
67,Berlin,2019-07-12
3,Kingston,2019-12-07
52,Cairo,2019-07-10
17,Athens,2019-09-15
84,Koror,2019-07-20
51,Georgetown,2019-01-01
45,Dili,2019-01-14
70,Harare,2019-05-29
90,Kathmandu,2019-09-22
24,Budapest,2019-04-06
30,Astana,2019-10-14
66,Luxembourg City,2019-06-20
99,Kingston,2019-02-12
6,Ankara,2019-08-16
30,Astana,2019-11-01
21,Funafuti,2019-05-19
86,Damascus,2019-01-03
97,Bridgetown,2019-10-16
34,Bridgetown,2019-06-13
48,Budapest,2019-08-02
52,Buenos Aires,2019-11-04
63,Amman,2019-01-01
1,Freetown,2019-07-16
33,Ankara,2019-09-20
98,George Town,2019-11-26
40,Dar es Salaam,2019-04-20
95,Bucharest,2019-02-26
36,Bern,2019-10-12
47,Bangkok,2019-09-02
67,Caracas,2019-06-14
87,Kinshasa,2019-12-28
15,Georgetown,2019-02-23
58,Bishkek,2019-01-11
46,Helsinki,2019-07-06
8,Asmara,2019-04-19
44,Lisbon,2019-09-21
34,Djibouti,2019-08-29
53,Bamako,2019-10-10
0,Brazzaville,2019-08-24
21,Lusaka,2019-09-04
49,Harare,2019-01-08
59,Bern,2019-10-12
64,Belgrade,2019-04-01
21,Basseterre,2019-11-23
23,Bangkok,2019-11-27
79,Beijing,2019-01-06
25,Banjul,2019-12-10
43,Conakry,2019-01-07
50,Jerusalem,2019-10-01
62,George Town,2019-02-28
18,Budapest,2019-09-16
33,Dili,2019-03-05
87,Cayenne,2019-01-05
33,Baku,2019-10-07
61,Kuala Lumpur,2019-07-24
68,Canberra,2019-06-16
69,Astana,2019-04-18
68,Kigali,2019-07-06
45,Freetown,2019-09-17
5,Gaborone,2019-12-16
69,Castries,2019-03-21
26,Antananarivo,2019-12-19
64,Beijing,2019-08-27
74,Funafuti,2019-08-17
8,Kingstown,2019-03-17
80,Budapest,2019-02-03
95,Madrid,2019-08-16
32,Lusaka,2019-01-15
24,Canberra,2019-07-27
93,Bamako,2019-03-15
4,Caracas,2019-10-28
11,Bratislava,2019-08-16
70,Helsinki,2019-02-15
29,Belgrade,2019-05-31
63,Accra,2019-01-16
50,Copenhagen,2019-02-16
65,Honiara,2019-06-27
23,Athens,2019-11-17
68,Bern,2019-07-29
59,Amsterdam,2019-08-10
81,Bangui,2019-12-17
33,Dili,2019-08-15
94,Caracas,2019-06-29
70,Juba,2019-06-18
48,Havana,2019-03-05
2,Djibouti,2019-03-22
16,Dakar,2019-02-24
77,La Paz and Sucre,2019-12-06
34,Hanoi,2019-02-28
45,Freetown,2019-01-06
53,Lome,2019-03-28
16,Belgrade,2019-09-23
51,Buenos Aires,2019-10-05
70,Bridgetown,2019-11-11
57,Bangkok,2019-05-05
5,Guatemala,2019-07-02
3,Kingstown,2019-03-22
4,Cayenne,2019-09-09
18,Buenos Aires,2019-12-14
65,London,2019-05-01
24,Kinshasa,2019-03-25
27,Budapest,2019-02-13
58,Amman,2019-04-07
92,London,2019-10-05
8,Bujumbura,2019-08-08
84,Havana,2019-01-18
70,Abuja,2019-09-13
69,Asuncion,2019-05-13
7,Ljubljana,2019-11-10
3,Athens,2019-05-13
92,Antananarivo,2019-09-15
99,Luanda,2019-11-11
15,Beijing,2019-03-06
93,Lima,2019-06-25
2,Jerusalem,2019-05-22
61,Buenos Aires,2019-11-09
63,Castries,2019-09-02
57,Kabul,2019-09-09
19,Damascus,2019-10-09
29,Kyiv or Kiev,2019-08-05
11,Bratislava,2019-04-23
12,Canberra,2019-04-06
40,Baku,2019-07-25
8,Bratislava,2019-10-07
75,Addis Ababa,2019-02-13
47,Dakar,2019-03-25
27,Bujumbura,2019-02-09
27,Amman,2019-11-24
94,Dhaka,2019-06-01
23,Funafuti,2019-08-19
38,Abu Dhabi,2019-11-09
83,Georgetown,2019-05-09
91,Ankara,2019-04-06
62,Luxembourg City,2019-10-09
77,Andorra la Vella,2019-09-14
93,Andorra la Vella,2019-08-19
87,Abuja,2019-07-08
44,La’youn,2019-10-29
76,Kuala Lumpur,2019-07-05
88,Andorra la Vella,2019-08-13
48,Freetown,2019-12-04
9,Helsinki,2019-09-28
83,Berlin,2019-08-25
78,Dhaka,2019-10-23
9,Apia,2019-02-20
79,Beijing,2019-04-01
46,Kingston,2019-09-30
58,Kinshasa,2019-01-16
7,Gaborone,2019-05-14
10,Belmopan,2019-11-13
52,Brasília,2019-05-09
97,Bandar Seri Begawan,2019-06-27
59,Freetown,2019-10-18
62,Kingstown,2019-01-23
83,Djibouti,2019-06-13
96,Freetown,2019-11-04
81,Doha,2019-03-06
98,Baghdad,2019-04-11
13,Baghdad,2019-08-02
76,Koror,2019-05-11
14,Baku,2019-05-16
25,Bratislava,2019-03-08
50,Brasília,2019-02-14
13,Dushanbe,2019-05-16
24,Kingston,2019-09-09
92,Kyiv or Kiev,2019-10-28
20,Chisinau,2019-09-25
19,Castries,2019-11-27
86,Canberra,2019-12-25
29,Apia,2019-08-22
96,Doha,2019-12-03
79,Banjul,2019-02-15
5,Andorra la Vella,2019-03-30
14,Ljubljana,2019-04-29
26,Basseterre,2019-07-10
32,Helsinki,2019-12-22
33,Athens,2019-02-28
84,Conakry,2019-03-08
26,Brussels,2019-01-04
27,Asmara,2019-04-09
19,London,2019-09-21
94,Damascus,2019-05-19
55,Brasília,2019-08-11
58,Dakar,2019-02-26
86,Ankara,2019-08-05
97,Funafuti,2019-04-27
85,Accra,2019-08-24
25,Kabul,2019-06-23
68,Luanda,2019-10-19
82,Belmopan,2019-11-27
98,Kabul,2019-07-17
73,Jerusalem,2019-11-22
99,Kinshasa,2019-02-18
48,Koror,2019-09-17
